content
"Aplikasi DANA menurut saya sangat membantu dalam kehidupan sehari hari tampilannya sederhana dan mudah dipahami,Aplikasi DANA rekomendde tapi sayang ada keluhan sedikit di akun DANA CICIL saya tidak bisa digunakan limidnya mohon untuk cs di bantu DANA CICIL saya untuk sementara saya kasih bintang ★★★★. saya janji kalau masalah di akun DANA CICIL saya bisa di gunakan saya tambahkan satu lagi bintang. terimah kasih"
"saya benar² kecewa dengan aplikasi ini, aplikasinya mudah sekali di hack, saldo sy hilang 2x... sudah membuat laporan selama 3 hari tidak ada follow up, yang ada pertanyaan yang diulang²... giliran sudah dapat follow up, menunggu antrian, diminta kembali dilain hari, giliran menagih antrian untuk tindak lanjutnya apakah saldo bisa kembali, pertanyaannya diulang² terus,,customer service yang benar² tidak dapat membantu, sistem keamanannya benar² diragukan dan sangat mudah di retas.."
"dana cicil masih ada limit 100ribuan lebih mau buat beli kuota karna posisi urgent malah ga bisa kepake tulisannya sedang tidak tersedia, terus chat diana juga percuma ga bantu sama sekali buat kejelasannya. sudah 1bulan nda bsa di pake padahal enak tuh kalo bisa di pake pas lg posisi urgent. aneh emg ini"
"Aplikasi gajelas suka ngebug pas ngelakuin transaksi kalo pun dilaporin ke asisten diana tetep gajelas cuma ngasih chat yang terus berulang udah paling bener pakai aplikasi lain dari pada ini udh sering trouble fitur laporan juga ga guna klo cuma ngasih teks yang berulang, blok!!!"
"Ini platform paling gak fair, Dana cicil gw dah bayar sesuai aturan mereka, berikut bunga & denda, tapi akhirnya limit dana cicil gw gak ada sama sekali. Cuma mau ambil keuntungan besar aja."
kemana saldo saya setelah saya mengirimkan sejumlah uang namun tidak diterima pihak penerima dicek bukti mada namun sedang gangguan setelah beberapa saat dicek lagi riwayat kosong dan saldo tidak kembali apa solusinya ini ?? menu bantuan yg ada chat otomatis tidak membuahkan hasil !!!!!!!👎
"Saya beli paket data di dana ga masuk selama 5h, pas di sms sudah masuk tapi saya cek di bima+ ga ada sedikit pun kuota yang masuk. Pelayanan nya jelek banget ga bisa kasih kompensasi, kalo kaya gini kan saya rugi 26rb!! SUNGGUH MENGECEWAKAN, TIDAK AKAN SAYA MEMBELI PAKET DATA ATAU PULSA LAGI DI APK DANA!!!!! 😠😠😠😠 TOLONG BERIKAN SAYA KOMPENSASI UANG KEMBALI!!!!!!!!!!!!!"
"parah minta di upgrade pas udah masukin semua data ,Malah verifikasi nya lama banget,dokumen sedang di cek terus,padahal saya urgent mau transaksi kirim uang,,sumpah kecewa banget!!!!!,harus nya udah antisipasi lah kalo aplikasi nya udah lumayan banyak penguna nya,,fikirin ke penguna nya kasian kalo meski terhambat gara gara upgrade kaya gini,apalagi yang kebutuhannya mendesak/urgent!!!!!;"
"saya beli ke kedai jam 12 malam dan saat mau bayar malah error, tulisan coba lagi. saya masih maklumi karena mungkin ada maintenance server, tapi besoknya jam 9 malam, bahkan belum jam 10 gangguan lagi. untung itu kedai, bisa saya balikin. kalau saya makan di warung atau semacamnya? bayar pakai apa kalau lagi tidak pegang uang cash? intinya perbaiki dulu baru saya naikin bintang"
App DANA Dompet Digital Indonesia (e-Wallet) Memang Sangat Bagus. Tampilan Menu Juga Transaksinya Lengkap/Muda/Aman & Terpercaya. Tapi akhir-akhir ini jaringan transaksi keuangannya mengirim / menerima sering gangguan & bermasalah bisa sampai 1×24 jam lamanya..!?!?
"ribet, gw cuma mau login kembali doang dipersulit katanya gunakan sidik jari dan wajah bisa login cepat, ini apalah setelah scan wajah malah kembali ke tahap awal di coba berkali kali gada perubahan atau pun hasil cuma buang waktu doang."
"pencairan dana instan sedang ada kendala,terus saja begitu,chat Diana jawaban nya itu itu aja dan gak membantu sama sekali ,pergi ke pusat resolusi juga tidak bisa,,via email malah di arahin lagi ke pusat resolusi,,entah apa alasanya jadi gak bisa narik limit,perbaiki kendala di akun saya, gak bisa liat apa transaksi saya di dana sudah bertahun tahun,JUJUR SAYA SEBAGAI PENGGUNA EWALLET DANA BERTAHUN TAHUN SANGAT KECEWA DENGAN SYSTEM SEKARANG.."
"susah kali hubungin costumer service dana ini, sudah jls akun dana saya hilang, gak bisa di buka karna nomornya hilang, dan malah di bekukan, gak bisa masuk, padahal, sebelumnya, masukkan sandi, dan verifikasi wajah, malah kelen suruh daftar, lol. gimna daftarin nomornya hilang, dan kalian bekukan....padahal saldonya masih ada,"
awal2 sih bagus ya. semuanya mudah. tp ko skrg agak menurun kualitasnya. tiap pembayaran pake qris klo aplikasi nya terlanjur ditutup ga klik detail transaksi hilang bukti pembayarannya dicek di aktivitas pasti update nya ga muncul. terus skrg adminnya ko agak besar ya untuk transfer atau qris.padahal sebelumnya admin nya untuk transfer cuma Rp.500 untuk yg dalam sehari transaksi berkali2 sih agak lumayan ya.
"pembelian kuota sudah dibayar,saldo dana pun sudah berkurang, eh malah masuk ketagihan dana cicil, tagihan jadi bertambah, aneh banget cara nyari keuntungan nya, udah bayar malah d hitung jadi utang, bukan masalah nominalnya yg receh tapi tolong dong amanah"
"Semuanya ok, KECUALI pengaturan volume nada notifikasi dan transfer, mengikuti volume nada dering telpon. Di nonaktifkan tidak bisa nada notifnya. Kurang nyaman ketika berada di tempat umum dgn volume notif dana yg besar. Mohon di perbaiki ya min."
"Baru ini aplikasi yang kalo kita salah transfer ke mo yang udah mati gak bisa di cancel 😔 perusahaan sebesar DANA gak bisa tarik kembali saldo yang sudah masuk! jelas no tlp yang di tuju sudah mati lama , ini merugikan pengguna setia , kecewa banget bagusnya di uninstal rame2 gak mutu"
"sekarang masalahnya begini: melebihi limit transaksi penyedia jasa itulah tulisan yang nongol waktu kita masukin nominalnya, padahal cuman kirim 1 juta , di mana masalahnya ini , biasanya bisa kok bahkan saya pernah kirim 10 jutaan bisa kenapa sekarang ga bisa ya?"
"kenapa saya gak bisa login ya udah ada 2 hp di coba tetep gak bisa dan udah ganti nomor percobaan login tetep gak bisa muncul tulisan ""UPS sedang ada kendala coba lagi sambungkan ke data seluler atau WiFi"
agar di perbaiki Apl nya. kirim uang dari dana ke No rekening dan saldo Dana Terpotong tapi rekening Tujuan blm ada Masuk uang nya dan tdk ada solusi nya dari Apl dana memalui CS nya. Aplikasi yg Kurang bagus unt di gunakan.
"Limit Dana Cicil tidak Bisa di gunakan,Padahal Walaupun pernah Telat tapi tidak Ada Tunggakan..Dan Saya sudah menunggu 3 Bulan lebih Tetap tidak bisa Di gunakan,Susah Untuk membuat laporan Tidak Ada Respon Dari Email Dan Akun sosial Media Lain nya."
"Bagus,tapi plis lah masa aplikasi sekelas dana yang pake udah banyak...pas upgrade ke premium dan udah berhasil pas mau coba transfer,dana kaget malah di suruh upgrade lagi???,atasin lah bukan gua doang yang kena!!!!"
"aplikasi ga jelas sering error, kesalahan teknis lah. udah upgrade dana premium, tapi ga bisa pakai dana kaget, dana investasi, dana bisni dll. padahal di status cek nya udah premium, dan akun nya udah nama dana premium. tapi fitur premium nya belum bisa dipaki, hadeh aplikasi gajelas. sering error, kesalahan teknis, uang suka tiba tiba ke kirim padahal ga langganan, paling saya benci saya sudah premium tetapi tidak bisa memakai fitur fitur premium."
"Mengapa setiap melakukan pengajuan fitur Dana cicil saya di suruh menunggu 30 hari, sudah 3 kali mempertanyakan hal ini costumer service jawabannya selalu sama, padahal saya sudah menggunakan aplikasi Dana sudah 2 Tahun. Tolong lah, saya butuh fitur seperti ini saat keadaan terdesak seperti saat habis kuota, pulsa, ataupun token listrik dan banyak lagi."
"Tolong hapus voucher dana deals voucher MLBB saya tidak merasa membeli nya, pada saat saya melakukan pembayaran di sebuah warung saldo saya berkurang dalam waktu yang sama padahal saya tidak bermain MLBB tapi kenapa terbeli otomatis ? Tolong kembalikan saldo saya sebesar 9.500 tersebut karna saya membutuhkannya"
"Tolong buat devoliver dana saya sudah nunggu 24 jam tapii masih saja gak bisa tf uang ketika saya mau tf uang selalu keluar pemberitahuan ""yah, banyak orang yang lagi bertransaksi. Coba lagi dalam beberapa menit ya"" tapi saya sudah nunggu 24 jam masih saja gak bisa tf uang untuk devoliver dana tolong lebih di perhatikan"
"terimakasih dana sudah membuat aplikasi yang mempermudah masyarakat dalam bertransaksi☺️ dan aku hanya mau berkomentar soal tampilan dari aplikasinya saja, aku suka tata letaknya aku suka semua bentuk icon dan ga ada kendala, tapi aku tipe orang yang gak suka lihat layar yang begitu terang‼️makanya setingan buat hp aku, aku ubah ke dark mode karena mata aku suka kaget kalau lihat layar terang. maka dari itu adakan dark mode ya minn🙏🏻🙏🏻🤟🏻"
"akun dana saya mengalami membajakan oleh beberapa hp, dan mengalami banyak transaksi, sampai pin nya bisa diganti oleh si pembajak ini, sudah melakukan laporan kepada diamacs namun seperti biasa dana selalu bertele tele urusan laporan begini, fyi ini bukan kali pertama dana bermasalah, saran untuk perlindungan keamanan dana lebih di perketat, termasuk urusan pergantian pin disetiap akun, yang semestinya menggunakan beberapa step agar lebih aman"
"DANA bagus dan mudah digunakan. Saran saya, semoga DANA bisa bekerja sama dengan Bank Central Asia atau Bank Rakyat Indonesia agar pengguna bisa menyimpan uang lebih banyak dan transaksi lebih mudah, karena kedua bank ini sudah menjangkau sampai pelosok Indonesia. Semoga DANA makin berkembang 🙏"
"maaf ya, baru kali ini gajelas banget Dana. Saldo saya berkurang secara tiba tiba karena alasan langganan youtube. memang saya langganan di salah satu youtube tapi pembayaran sudah lama,, Dan pembayaran terjadi ketika saya tidak melakukan transaksi... lantas pertanyaan saya, SIAPA yang melakukan itu? sedangkan transaksi saya pakai password yang artinya itu password hanya saya yang tau... Tolong ya, kapok banget,, Meskipun receh tapi hilang uang saya. Entah kemana larinya uang saya."
"Ada apa dgn app ini ,, gak nyampe seminggu saya tf uang tp pas barusan mau log in dan uang sudah ditf kedana ,mau login kok tidak aktif terlalu lama .tolong diperbaiki lagi. Setelah saya bs login baru saya tambah bintangnya ,terima kasih"
aplikasi yang sangat bagus dan sangat membantu tapi sayang minus nya di koneksi sampai saat ini belum bisa tertangani aplikasi tidak ada koneksi internet jika menggunakan jaringan data tapi klw pakai Wifi lancar tolong perbaikan masalah koneksi
"Sekarang apk jadi lebih berat, buka apk lain lancar tapi giliran buka Dana loadingnya lama. Terjadi kegagalan transaksi dalam aplikasi, namun saldo tetap kepotong dan tidak terkirim ke penerima. Tidak ada laporan pada aktivitas, sehingga saldo ngga jelas hilang ke mana."
"untuk apa DANA CICIL d tampilkan klau ga bisa d gunakan... jika memang limit habis, gausah dikasih tampil. sudah d hubungi Diana tapi tidak membantu sama sekali, sudah d coba secara berkala, beda hari, perminggu, bahkan sudah 1blan tetap sedang tidak tersedia d kolom pembayaran, d cek saldo limit cicil ada, dan belum d gunakan.. Pertanyaan nya saldo limit cicil ada tapi tidak bisa d gunakan.? kalau memang tidak bisa, ya jangan buat saldo limit nya ada, kapan perlu hapus aj tuh dana cicil.."
"tolong kepada pihak developer, tolong batalkan pembayaran berlangganan secara otomatis, karna ini sangat menggangu, saya tidak pernah berlangganan dengan aplikasi berbayar yg saya install tapi tiba-tiba saja saldo dana saya berkurang tanpa sepengetahuan saya, dan ini sangat meresahkan bagi saya yg mendapati saldo dana saya berkurang saat bangun pagi, saya tidak tau apakah orangbisa mengetahui isi dana lewat aplikasi lain, dan apakah saldo yg tidak kita pakai untuk berlangganan bisa d kembalikan"
"Karena aplikasi kehapus ga sengaja .....begitu mau pemulihan aplikasi aktifin lagi setelah instal gabisa masuk akun terus, alasannya sedang berkendala melulu ga selesai selesai.... solusinya dong admin..."
"saya kehilangan saldo dana plus, waktu saya minta contact service resminya tidak di kasih, dan customer service nya tidak terlalu membantu mencari solusi, padahal sudah saya daftar kan proteksi extra juga, tapi tetap kehilangan saldo dana plus tanpa ada notifikasi transaksi sama sekali. mohon kedepannya untuk tidak mempersulit cust bila ada kehilangan saldo, dan mohon untuk di permudah bagi cust yang kehilangan saldo tapi masih bingung untuk laporkan karena saldo tiba tiba 0 tanpa ada notif."
"Tolong ya, proses perbaikannya, kenapa kirim uang ke rekening sendiri lama sekali, saya mau pake cepat dana nya, mlah ga masuk² nyesel ngisi di dana tadi, mending langsung setor tunai aja tadi, gajelas banget, WOIIII PROSES DUIT AKU ITU, MAU DI PAKE"
"Yth. Tim DANA Indonesia, Saya pengguna setia DANA. Izin menyampaikan keluhan terkait update aplikasi DANA versi terbaru. Sejak update, fitur Dana Kaget jadi sangat lambat karena harus melewati browser/Chrome dulu sebelum masuk ke aplikasi. Alhasil saya dan banyak pengguna lain jadi tidak pernah kebagian karena kalah cepat. Mohon untuk fitur Dana Kaget dikembalikan seperti awal, yaitu link langsung terbuka di aplikasi DANA tanpa lewat browser. Sistem yg sekarang sangat merugikan pengguna."
"aplikasi dana emang ok sih,tapi makin sering transaksi koq makin kemari sering ada warning ""kamu terlalu sering melakukan transaksi/cek "" kan jadi risih tolobg dong pihak dana di perbaiki itu kan uang pelanggan bukan uang dana,apa harus pindah ke ewallet lainnya"
"setelah pindah ke dana+ saldo saya malah ilang tolong penjelasannya bagaimana,udah 4hari nungguin bolak balik cek akun pas tingal 1jm nunggu apa yang akan terjadi, ternyata nunggu 4hari 4malam yang terjadi saldo ilang semua."
"masa proses premium harus nunggu 2 hari,saya mau narik uangnya sekarang ini malah di suruh nunggu 2 hari buat premium biasanya juga cepet.tolong cepetin lah lama banget nge cek nya.adahal pas di awal saya sudah batalin transaksi kenapa uangnya gak kembali terus fitur penarikannya gak kayak di aplikasi gopay yang ada fitur penarikannya biar langsung di tarik"
"saya sudah muak Sama Diana robot kalian, saya sudah premium virifikasi udh transaksi mulu udah kenapah dana cicilan saya belum juga bisa di pake, saya sudah aktifkan malah gagal harus perbanyak transaksi nyampe kapan kaya ginih terus tidak ada peningkatan sama sekali udah sangat lama menunggu fitur dana cicilan muncul pas udh muncul malah gagal aktifkan nya suruh transaksi mulu lagi udh muak saya dengan pelyanan aplikasi dana dompet digital tidak bagus sangat jelek"
saat saya mau top up lewat indomaret dan tak lama saya membatalkan untuk top up tapi tak bisa di batalkan transaksi proses jadi saya menunggu 24 jam ganti hari tapi saat pagi ini di coba untuk membatalkan nya lagi tak bisa bingung jadi nya gimana mau top up lagi klo di batalkan gk bisa..
"Awalnya bagus, tapi makin hari makin aneh dgn aplikasi yang 1 ini.mintanya yang aneh2, minta ganti pin pake sidik jarilah,wajalah, trus yang makin anehnya lagi untuk perlindungan akun dana dari maling harus berbayar lah,dan yang parahnya lagi kirim uang dari brimo ke dana katanya dana eror,,, wkwk mending tutup saja aplikasinya skalian, masa lu eror yang di salahkan jaringan Telkomsel,parah."
"makin kesini makin buruk. selama ini pakai dana aman saja tiba2 aplikasi dana mulai berulah, 2 kali transaksi di hari yang berbeda transaksi berhasil tapi saldo bank tujuan tdk bertambah. mohon diperbaiki spya kslhn sprti ini tdk terulang lg"
"sebebnarnya ini tuh aplikasi sangat membantu ya,tapi kenapa makin kesini aplikasinya makin gak nyaman,lemot susah masuk,susah transaksi aku kira hp ku yang ruang penuh ternyata pas nanya sama sesama pengguna emang jadi jelek apliksinya bukan masalah hpnya,,tolonglah perbaiki lagi aplikasinya biar pengguna tambah puas kalo menggunakan aplikasi ini dan gak pindah ke aplikasi lain yang lebih bagus"
"Payah..Dana Cicil gak bisa di pake,gegara telat beberapa hari aja , setelah itu di lunasin, Sudah 2 bulan ini tidak bisa di pakai dana cicil nya...tapi ko di klik dana cicil nya ada limitnya sesuai di kasih di awal...gak ada pemberitahuan lagi kenapa gak bisa di pake lagi👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼"
mohon bantuan.. ada yang scan QR ke dana bisnis saya namun saldo dan mutasi tidak muncul. sedangkan di mbanking pelanggan sudah sukses Luar biasa.. sangat bermanfaat dimana sekarang merupakan era 4.0
"plis deh, jaringan stabil bahkan udah segala cara saya coba. tapi kenapa ya lambat banget gerak nya? jadi kalau butuh tuh ribet banget. update juga udah. ribet. saya sudah dm, lama sekali respon nya."
Kenapa ya setiap mau tambahkan keluarga pada menu rekening keluarga selalu keluar dan ada notice nya Aplikasi berhenti begitu terus di Samsung A17. Apakah aplikasinya sedamg trouble atau apa?
"aplikasi yang punya banyak pitur ke untungan buat pengguna, maap aku turunin 1bintang karna nada notipasi pembayaran qris jadi gk bunyi.. tolong di up karna nada notip qris bagi para pengguna itu sangat di butuhkn.."
"bagus aplikasi Dompet digital ini sangat berguna dan tidak ribet, tapi yang saya heran kenapa fitur Dana Cicil tidak muncul padahal saya sering menggunakan aplikasi in rajin isi saldo"
"tolong untuk pihak dana kembalikan uang saya, saya beli kuota data pembayaran berhasil tidak ada yang salah tapi kok Kouta data tidak masuk di saya, tiap minta bantuan cs Diana tapi selalu saya cuma di suruh jelasin dan disuruh cek lagi, padahal ada buktinya katanya disuruh nunggu 2 hari dan akan diberikan informasi tapi belum ada informasi apapun tentang masalah ini, tolong tindak lanjuti masalah ini atau saya tidak menggunakan dana lagi, dan mulai sekarang saya tidak akan beli kuota di dana"
"saya bayar tagihan wifi sudah 3 hari transaksi sedang diproses terus , saya bikin laporan sudah 2 hari tidak ada respon , padahal hari ini jatuh tempo , saya merasa dirugikan , tolong direfund saja"
"saya ingin tanya dengan pengembang...di aplikasi dana kan ada masuk melalui verifikasi wajah.. dan hal hal yang lain.... pertanyaan ku ketika si pemilik aplikasi memiliki aset di dana dan ada hal yang tidak di inginkan misalnya pemilik ini meninggal dunia dan aset nya masih ada dalam dana bagaimana cara mendapatkan aset tersebut apakah bisa di cairkan dengan cara lain atau bagaimana... dalam hal ini tidak menutup kemungkinan pasti ada.,. terima kasih"
bos knp aplikasi dana instan saya blm muncul .. padahal saya penguna aktif .. akun sudah primium .. tapi blm juga muncul muncul aplikasi dana instan nya ..
saya pengguna dana lama sebelum ada dana cicil .semuanya nyaman dan simpel tapi setelah adanya dana cicil keamanan nya meragukan dan juga saya ga pernah aktifkan dana cicil tiba tiba aktif dan a tagihan pembayaran pulsa ke nomor tidak di kenal .saya sudah laporan ke dana tapi ga di tanggapi. dari bulan kemarin
"ini aplikasi heran banget, punya orang lain fiturnya udah komplit sedangkan gua sering transaksi belanja pake dana ga muncul muncul fitur lainya herann, pilih kasih lu sat."
"apk anehhh masa saya sudah bertahun tahun pakai dana transaksi tiap hari gaapa fitur dana cicil terus pengajuan lewat diana gaada solusi sama sekali harus nunggu 30 hari ini udah lebih 30 hari malahan udah 1 tahun lebihhh, kecewa berat pakai apk ini."
"nyesel coba coba aktifin dana cicil saldo yg di dapet gk seberapa, dan sering mengecoh saat transaksi, opsi pembayaran pertama selalu Danan cicil, dan saat kita GK sadar, kita melakukan transaksi, tau tau dapet tagihan cicilan. dan anehnya fitur dana cicil tidak bisa di non aktifkan . yg menurut saya kebijakan ini sangat memberatkan"
"coba deh utamakan fungsi dan fitur..jangan tampilkan animasi animasi gak jelas,biar nggak lelet saat transaksi.. dan juga pengelola'an histori transaksi tolong serahkan ke pengguna,agar bisa di hapus dan disimpan yang penting penting saja..biar gak makin lemot saat buka histori.. terima kasih.. 1 lagi..untuk customer servise nya tolong di ganti manusia saja..jangan robot..agar saat komplain bisa saling berkomunikasi dengan jelas,dan saling memahami.."
"Limit habis harus update akun ke premium. Proses update akun memerlukan waktu 2 hari, saldo gabisa di pindah selama akun belum menjadi premium. Padahal butuh transaksi urgent, mana gabisa tarik tunai. Sekelas dana harusnya gausah ribet untuk proses update akun"
"Dana sekarang banyak S&K tidak seperti awal dulu, terlalu banyak program sehingga sering ada bug. Dulu bug biasanya karena aplikasi minta update, sekarang meski gk ada update masih ada bug seperti kupon A+ dan kupon Deals yg sudah dibeli gak bisa dipakai, mulai : kupon potongan harga kupon A+ berikutnya, kupon pulsa, kupon listrik, kupon retail yg diskon langsung saat bayar. Cuma kupon Toped, Alfa dan Indomaret yg muncul kode untuk dimasukkan manual saja yang aman untuk dibeli dan bisa digunakan"
"Fitur dana cicil tidak jelas, saya ada masalah membeli kuota, dan tidak bisa/gagal malah di riwayat transaksi uangnya kembali padahal tidak dan malah jadi tagihal di dana cicil, pada saat itu saya nggak daftar dana cicil dan malah ada tagihan, diana juga kurang membantu"
"Aplikasi ga bermutu, saldo tiba² lenyap sendiri dan tidak ada kejelasan sama sekali brtanya dgn cstmernya, sia sia. Mudah diretas ,awal² download sih masih aman² aja dipake. Tapi lama kelamaan aplikasi ini semakin ga beres ,sangat mengecewakan sekali . maaf sekali penilaian saya bntang 1 aja sdh cukup. Dan juga mohon segera di kembangkan lagi tingkat keamanannya.."
"tf ke e wallet lain sering delay, CS nya pun lama responnya. ga bisa dipercaya aplikasinya. bahkan terkadang duit tiba2 hilang tanpa ada rinciannya. kalok ada biaya bulanan gpp kok,tapi ya kasih rinciannya dong biar ga bingung kemana uangnya hilang? barusan tf ke sh*ppe 300rb blm masuk."
"akun sering terhubung otomatis ke marchant toko pedia dan tidak bisa di hapus melalui dana harus lewat aplikasi, sedangkan saya tidak menggunakan Tokopedia kenapa malah terhubung otomatis, nanti kalau udah bisa di hapus akun yang tersambung ke dana baru di kasih bintang 5"
"kak tolong perbaiki fitur dana bisnis, saya mau tarik saldo, pas saya mau tarik saldonya disuruh verifikasi muka, saya sudah beberapa kali verifikasi muka, malah gak bisa ""Pemindaian wajah gagal"" ""Posisikan wajah Anda di dalam bingkai dan pastikan Anda memiliki pencahayaan yang cukup"" saya udah coba perbaiki posisi wajab posisi bingkai dan pencahayaan, hasilnya tetap gagal. tolongin fitur dana bisnis perbaiki pakai pin aja kalo bisa."
"kak ini Uda coba masuk dana uda masukin nomer juga nah habis itu loading terus keluar sendiri dari apk nya sama ada tulisan ""dana telah berhenti"" disitu uda coba berbagai cara tapi tetep ajaa sama uda diulangi beberapa kali juga sampe unistal dana trs download lagi dan sampe berulang kali tetep Kya gitu, sebelumnya di hp satunya aman' aja lancar banget pas masuk tapi tiba' yang di hp ini banyak kendalanya mau masuk tiba' keluar sendiri sama ada tulisan ""dana telah berhenti"""
"setelah update kok susah masuk aplikasi? padahal jaringan lancar.. Dulu saja tanpa paket data sangat mudah masuknya,walau transaksi tidak bisa.. Masa dihapus dulu aplikasinya,terus download lagi baru bisa digunakan lagi..Tolong perbaiki min.."
Pengalaman TERBURUK menggunakan Aplikasi Dana. Saat saya hendak melakukan pembayaran Google Play lewat QRIS dan menggunakan aplikasi DANA Transaksi sudah TERBAYAR tapi di dalam Game item yang harusnya dibeli tak kunjung didapat!!!!. WORST EVER
